id,name,url,description,test_type,remote_testing,adaptive_irt,duration_minutes
11,Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form,"This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. There are multiple configurations and versions of this solution available.","A,B,P",True,False,
12,Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution,"The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk. There are multiple configurations and versions of this solution available.","B,A,P",True,True,
13,Adobe Experience Manager (New),https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new,"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.",K,True,False,
14,Adobe Photoshop CC,https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc,"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web.",K,True,True,
15,Aeronautical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new,"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.",K,True,False,
16,Aerospace Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new,"Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.",K,True,False,
17,Agile Software Development,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development,"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development.",K,True,False,
18,Agile Testing (New),https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new,"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.",K,True,False,
19,AI Skills,https://www.shl.com/solutions/products/product-catalog/view/ai-skills,The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,P,True,False,
20,Amazon Web Services (AWS) Development (New),https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new,"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.",K,True,False,
21,Android Development (New),https://www.shl.com/solutions/products/product-catalog/view/android-development-new,"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing.",K,True,False,
22,Angular 6 (New),https://www.shl.com/solutions/products/product-catalog/view/angular-6-new,"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation.",K,True,False,
23,AngularJS (New),https://www.shl.com/solutions/products/product-catalog/view/angularjs-new,"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.",K,True,False,
24,Apache Hadoop (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new,"Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce.",K,True,False,
25,Apache Hadoop Extensions (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-extensions-new,"Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.",K,True,False,
26,Apache HBase (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hbase-new,"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration.",K,True,False,
27,Apache Hive (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hive-new,"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language.",K,True,False,
28,Apache Kafka (New),https://www.shl.com/solutions/products/product-catalog/view/apache-kafka-new,"Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.",K,True,False,
29,Apache Pig (New),https://www.shl.com/solutions/products/product-catalog/view/apache-pig-new,"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.",K,True,False,
30,Apache Spark (New),https://www.shl.com/solutions/products/product-catalog/view/apache-spark-new,"Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.",K,True,False,
31,ASP .NET with C# (New),https://www.shl.com/solutions/products/product-catalog/view/asp-net-with-c-new,"Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services.",K,True,False,
32,ASP.NET 4.5,https://www.shl.com/solutions/products/product-catalog/view/asp-net-4-5,"The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms.",K,True,True,
33,Assessment and Development Center Exercises,https://www.shl.com/solutions/products/product-catalog/view/assessment-and-development-center-exercises,"SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform.We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exercises.Exercises are available across a wide range of job levels and industry contexts.Contact SHL to find out more.",E,True,False,
34,Automata - Fix (New),https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new,"A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",S,True,False,
35,Automata - SQL (New),https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new,"A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks.",S,True,False,
36,Automata (New),https://www.shl.com/solutions/products/product-catalog/view/automata-new,"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",S,True,False,
37,Automata Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-new,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,S,True,False,
38,Automata Data Science Pro (New),https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-pro-new,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,S,True,False,
39,Automata Front End,https://www.shl.com/solutions/products/product-catalog/view/automata-front-end,"Simulation based test that measures the front-end development capabilities using HTML, CSS, and
JavaScript. The candidate is provided with 3 different sections to code in HTML, CSS and JavaScript respectively and a separate output section to view the output. This simulation is then manually scored.",S,True,False,
40,Automata Pro (New),https://www.shl.com/solutions/products/product-catalog/view/automata-pro-new,"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/",S,True,False,
41,Automata Selenium,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium,A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts.,S,True,False,
42,Automation Anywhere RPA Development (New),https://www.shl.com/solutions/products/product-catalog/view/automation-anywhere-rpa-development-new,"Multi-choice test that measures the knowledge of Automation Anywhere dash board and task editor, control room, key commands, bots and Automation Anywhere client.",K,True,False,
43,Automotive Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/automotive-engineering-new,"Multi-choice test that measures the knowledge of auto engine classification, engine fuel system, auto-vehicle technology, maintenance, inspection and troubleshooting.",K,True,False,
44,Basic Biology (New),https://www.shl.com/solutions/products/product-catalog/view/basic-biology-new,Multi choice test that measures the candidate's basic understanding of Biology.,K,True,False,
45,Basic Computer Literacy (Windows 10) (New),https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new,"The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform certain operations in a simulated environment resembling the actual application. This simulation consists of both multiple choice and simulation-based questions, and includes the following topics: Application Software, Computer Terms, Internet and Email, Managing Files, Operating System, and Parts of the Computer.","S,K",True,False,
46,Basic Statistics (New),https://www.shl.com/solutions/products/product-catalog/view/basic-statistics-new,"Multi-choice test that measures the knowledge of statistical methods, exploratory analysis, basics of probability, standard distributions and statistical testing.",K,True,False,
47,Biochemistry (New),https://www.shl.com/solutions/products/product-catalog/view/biochemistry-new,"Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and concepts of bioenergetics and metabolism.",K,True,False,
48,Biotech Lab Techniques (New),https://www.shl.com/solutions/products/product-catalog/view/biotech-lab-techniques-new,"Multi-choice test that measures the knowledge of biophysical techniques, bio-processing and separation techniques like chromatography and electrophoresis.",K,True,False,
49,BizTalk (New),https://www.shl.com/solutions/products/product-catalog/view/biztalk-new,"Multi-choice test that measures the knowledge of BizTalk architecture, pipelines, adapters, business process techniques and BizTalk administration.",K,True,False,
50,Business Communication (adaptive),https://www.shl.com/solutions/products/product-catalog/view/business-communication-adaptive,"This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication.",K,True,True,
51,Business Communications,https://www.shl.com/solutions/products/product-catalog/view/business-communications,"This test measures the candidate's knowledge of communicating in the workplace.  It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication. This version of the test is not adaptive.",K,True,False,
52,C Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new,"Multi-choice test that measures the knowledge of C programming basics, functions, arrays, composed data types, and advanced C concepts like SLF, file handling and dynamic memory.",K,True,False,
53,C# Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4039,"Multi-choice test that measures the knowledge of C# programming structure, functions, collections, enumeration, exception handling, OOPs constructs, inheritance, event handling and operator overloading.",K,True,False,
54,C++ Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4122,Multi-choice test that measures the knowledge of programming in the C++ language and the ability to use the C++ standard library to write code.,K,True,False,
55,Cardiology and Diabetes Management (New),https://www.shl.com/solutions/products/product-catalog/view/cardiology-and-diabetes-management-new,"Multi-choice test that measures the knowledge of how to control and manage cardiovascular diseases and diabetes, and understanding of the diagnostic tests used for them.",K,True,False,
56,Ceramic Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/ceramic-engineering-new,"Multi-choice test that measures the knowledge of classification of ceramic materials, production of ceramics and thermodynamics.",K,True,False,
57,Chemical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/chemical-engineering-new,"Multi-choice test that measures the conceptual knowledge of transport phenomena, chemical process engineering and technology, chemical process principles, stoichiometry and process calculations.",K,True,False,
58,Cisco AppDynamics (New),https://www.shl.com/solutions/products/product-catalog/view/cisco-appdynamics-new,"Multi-choice test that measures the knowledge of application analytics, performance management, and AppDynamics essentials like controller UI, custom dashboard, reports and monitoring.",K,True,False,
59,Civil Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/civil-engineering-new,"Multi-choice test that measures the knowledge of structural engineering, transportation engineering, surveying, geotechnical engineering and water resources engineering.",K,True,False,
60,Cloud Computing (New),https://www.shl.com/solutions/products/product-catalog/view/cloud-computing-new,"Multi-choice test that measures the knowledge of cloud computing concepts, cloud service models, virtualization and private clouds.",K,True,False,
61,COBOL Programming (New),https://www.shl.com/solutions/products/product-catalog/view/cobol-programming-new,,K,True,False,
62,Computer Science (New),https://www.shl.com/solutions/products/product-catalog/view/computer-science-new,,K,True,False,
63,Contact Center Call Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/contact-center-call-simulation-new,,S,True,False,
64,Conversational Multichat Simulation,https://www.shl.com/solutions/products/product-catalog/view/conversational-multichat-simulation,,S,True,False,
65,Core Java (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new,,K,True,False,
66,Core Java (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new,,K,True,False,
67,Count Out The Money,https://www.shl.com/solutions/products/product-catalog/view/count-out-the-money,,"K,S",True,True,
68,CSS3 (New),https://www.shl.com/solutions/products/product-catalog/view/css3-new,,K,True,False,
69,Culinary Skills (New),https://www.shl.com/solutions/products/product-catalog/view/culinary-skills-new,,K,True,False,
70,Customer Service Phone Simulation,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-simulation,,"B,S",True,False,
71,Customer Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-solution,,"B,P,S",True,False,
72,Cyber Risk (New),https://www.shl.com/solutions/products/product-catalog/view/cyber-risk-new,,K,True,False,
73,Data Entry (New),https://www.shl.com/solutions/products/product-catalog/view/data-entry-new,,S,True,False,
74,Data Entry Alphanumeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-alphanumeric-split-screen-us,,K,True,False,
75,Data Entry Numeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-numeric-split-screen-us,,K,True,False,
76,Data Entry Ten Key Split Screen,https://www.shl.com/solutions/products/product-catalog/view/data-entry-ten-key-split-screen,,K,True,False,
77,Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/data-science-new,,K,True,False,
78,Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts,,K,True,True,
79,Dependability and Safety Instrument (DSI),https://www.shl.com/solutions/products/product-catalog/view/dependability-and-safety-instrument-dsi,,P,True,False,
80,Dermatology (New),https://www.shl.com/solutions/products/product-catalog/view/dermatology-new,,K,True,False,
81,Desktop Support (New),https://www.shl.com/solutions/products/product-catalog/view/desktop-support-new,,K,True,False,
82,Digital Advertising (New),https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new,,K,True,False,
83,Digital Readiness Development Report - IC,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report,,P,True,False,
84,Digital Readiness Development Report - Manager,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report-manager,,P,True,False,
85,Docker (New),https://www.shl.com/solutions/products/product-catalog/view/docker-new,,K,True,False,
86,Dojo (New),https://www.shl.com/solutions/products/product-catalog/view/dojo-new,,K,True,False,
87,Drupal (New),https://www.shl.com/solutions/products/product-catalog/view/drupal-new,,K,True,False,
88,DSI v1.1 Interpretation Report,https://www.shl.com/solutions/products/product-catalog/view/dsi-v1-1-interpretation-report,,P,True,False,
89,Econometrics (New),https://www.shl.com/solutions/products/product-catalog/view/econometrics-new,,K,True,False,
90,Economics (New),https://www.shl.com/solutions/products/product-catalog/view/economics-new,,K,True,False,
91,Electrical and Electronics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electrical-and-electronics-engineering-new,,K,True,False,
92,Electrical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electrical-engineering-new,,K,True,False,
93,Electronics & Telecommunications Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-telecommunications-engineering-new,,K,True,False,
94,Electronics and Embedded Systems Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-embedded-systems-engineering-new,,K,True,False,
95,Electronics and Semiconductor Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-semiconductor-engineering-new,,K,True,False,
96,English Comprehension (New),https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new,,K,True,False,
97,Enterprise Java Beans (New),https://www.shl.com/solutions/products/product-catalog/view/enterprise-java-beans-new,,K,True,False,
98,Enterprise Leadership Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/enterprise-leadership-report,,P,True,False,
99,Enterprise Leadership Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/enterprise-leadership-report-2-0,,P,True,False,
100,Entry Level Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-solution,,"C,P",True,False,
101,Entry Level Customer Serv-Retail & Contact Center,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center,,"P,C",True,False,
102,Entry Level Customer Service (General) Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-general-solution,,"C,P",True,False,
103,Entry Level Hotel Front Desk Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-hotel-front-desk-solution,,"C,P",True,False,
104,Entry Level Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution,,"C,P",True,False,
105,Entry Level Technical Support Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-technical-support-solution,,"P,C",True,False,
106,ETL Testing (New),https://www.shl.com/solutions/products/product-catalog/view/etl-testing-new,,K,True,False,
107,Executive Scenarios,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios,,B,True,False,
108,Executive Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios-narrative-report,,B,True,False,
109,Executive Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios-profile-report,,B,True,False,
110,ExpressJS (New),https://www.shl.com/solutions/products/product-catalog/view/expressjs-new,,K,True,False,
111,Filing - Names (R1),https://www.shl.com/solutions/products/product-catalog/view/filing-names-r1,,K,True,False,
112,Filing - Numbers,https://www.shl.com/solutions/products/product-catalog/view/filing-numbers,,K,True,False,
113,Financial Accounting (New),https://www.shl.com/solutions/products/product-catalog/view/financial-accounting-new,,K,True,False,
114,Financial and Banking Services (New),https://www.shl.com/solutions/products/product-catalog/view/financial-and-banking-services-new,,K,True,False,
115,Fire Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/fire-engineering-new,,K,True,False,
116,Following Instructions v1 - UK (R1),https://www.shl.com/solutions/products/product-catalog/view/following-instructions-v1-uk-r1,,K,True,False,
117,Following Instructions v1 - US (R2),https://www.shl.com/solutions/products/product-catalog/view/following-instructions-v1-us-r2,,K,True,False,
118,Food and Beverage Services (New),https://www.shl.com/solutions/products/product-catalog/view/food-and-beverage-services-new,,K,True,False,
119,Food Science (New),https://www.shl.com/solutions/products/product-catalog/view/food-science-new,,K,True,False,
120,Front Office Management (New),https://www.shl.com/solutions/products/product-catalog/view/front-office-management-new,,K,True,False,
121,Fundamentals of Chemistry (New),https://www.shl.com/solutions/products/product-catalog/view/fundamentals-of-chemistry-new,,K,True,False,
122,Fundamentals of Physics (New),https://www.shl.com/solutions/products/product-catalog/view/fundamentals-of-physics-new,,K,True,False,
123,General Diseases (New),https://www.shl.com/solutions/products/product-catalog/view/general-diseases-new,,K,True,False,
124,Geoinformatics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/geoinformatics-engineering-new,,K,True,False,
125,Geoscience Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/geoscience-engineering-new,,K,True,False,
126,GIT (New),https://www.shl.com/solutions/products/product-catalog/view/git-new,,K,True,False,
127,Global Skills Assessment,https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment,,"C,K",True,False,
128,Graduate Scenarios,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios,,B,True,False,
129,Graduate Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios-narrative-report,,B,True,False,
130,Graduate Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios-profile-report,,B,True,False,
131,Hibernate (New),https://www.shl.com/solutions/products/product-catalog/view/hibernate-new,,K,True,False,
132,HIPAA (Security),https://www.shl.com/solutions/products/product-catalog/view/hipaa-security,,K,True,True,
133,HiPo Assessment Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-1-0,,"C,P",True,False,
134,HiPo Assessment Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-2-0,,"C,P",True,False,
135,HiPo Unlocking Potential Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-unlocking-potential-report-2-0,,C,True,False,
136,Housekeeping (New),https://www.shl.com/solutions/products/product-catalog/view/housekeeping-new,,K,True,False,
137,HTML/CSS (New),https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new,,K,True,False,
138,HTML5 (New),https://www.shl.com/solutions/products/product-catalog/view/html5-new,,K,True,False,
139,Human Resources (New),https://www.shl.com/solutions/products/product-catalog/view/human-resources-new,,K,True,False,
140,IBM DataStage (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-datastage-new,,K,True,False,
141,IBM Sterling Order Management System (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-sterling-order-management-system-new,,K,True,False,
142,Industrial Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/industrial-engineering-new,,K,True,False,
143,Informatica (Architecture) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-architecture-new,,K,True,False,
144,Informatica (Developer) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-developer-new,,K,True,False,
145,Instrumentation Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/instrumentation-engineering-new,,K,True,False,
146,Interpersonal Communications,https://www.shl.com/solutions/products/product-catalog/view/interpersonal-communications,,K,True,True,
147,Interviewing and Hiring Concepts (U.S.),https://www.shl.com/solutions/products/product-catalog/view/interviewing-and-hiring-concepts-u-s,,K,True,True,
148,iOS Development (New),https://www.shl.com/solutions/products/product-catalog/view/ios-development-new,,K,True,False,
149,ITIL (IT Infrastructure Library) (New),https://www.shl.com/solutions/products/product-catalog/view/itil-it-infrastructure-library-new,,K,True,False,
150,Java 2 Platform Enterprise Edition 1.4 Fundamental,https://www.shl.com/solutions/products/product-catalog/view/java-2-platform-enterprise-edition-1-4-fundamental,,K,True,True,
151,Java 8 (New),https://www.shl.com/solutions/products/product-catalog/view/java-8-new,,K,True,False,
152,Java Design Patterns (New),https://www.shl.com/solutions/products/product-catalog/view/java-design-patterns-new,,K,True,False,
153,Java Frameworks (New),https://www.shl.com/solutions/products/product-catalog/view/java-frameworks-new,,K,True,False,
154,Java Platform Enterprise Edition 7 (Java EE 7),https://www.shl.com/solutions/products/product-catalog/view/java-platform-enterprise-edition-7-java-ee-7,,K,True,True,
155,Java Web Services (New),https://www.shl.com/solutions/products/product-catalog/view/java-web-services-new,,K,True,False,
156,JavaScript (New),https://www.shl.com/solutions/products/product-catalog/view/javascript-new,,K,True,False,
157,Jenkins (New),https://www.shl.com/solutions/products/product-catalog/view/jenkins-new,,K,True,False,
158,Job Control Language (New),https://www.shl.com/solutions/products/product-catalog/view/job-control-language-new,,K,True,False,
159,jQuery (New),https://www.shl.com/solutions/products/product-catalog/view/jquery-new,,K,True,False,
